"HESCategory","OPCSCode","CodeNoDot","CodeDesc"
19,"A09.2 ","A092 ","Maintenance of neurostimulator in brain"
19,"A09.3 ","A093 ","Removal of neurostimulator from brain"
19,"A09.4 ","A094 ","Operation on neurostimulator in brain NEC"
19,"A09.5 ","A095 ","Insertion of neurostimulator electrodes into the brain"
19,"A09.8 ","A098 ","Other specified"
19,"A09.9 ","A099 ","Unspecified"
19,"A10.1 ","A101 ","Leucotomy NEC"
19,"A10.6 ","A106 ","Insertion of carmustine wafers in neoplasm of tissue of brain"
19,"A11.1 ","A111 ","Placement of depth electrodes for electroencephalography"
19,"A11.2 ","A112 ","Placement of surface electrodes for electroencephalography"
19,"A11.3 ","A113 ","Monitoring of pressure in tissue of brain"
5,"G30.9","G309","Unspecified plastic operations on the stomach"
5,"G31.1","G311","Bypass of stomach by anastomosis of oesophagus to duodenum"
5,"G31.2","G312","Bypass of stomach by anastomosis of stomach to duodenum"
5,"G31.3","G313","Revision of anastomosis of stomach to duodenum"
5,"G31.4","G314","Conversion to anastomosis of stomach to duodenum"
5,"G31.5","G315","Closure of connection of stomach to duodenum"
5,"G31.6","G316","Attention to connection of stomach to duodenum"
5,"G31.8","G318","Other specified connection of stomach to duodenum"
5,"G31.9","G319","Unspecified connection of stomach to duodenum"
5,"G31.0","G310","Conversion from previous anastomosis of stomach to duodenum"
5,"G32.1","G321","Bypass of stomach by anastomosis of stomach to transposed jejunum"
5,"G32.2","G322","Revision of anastomosis of stomach to transposed jejunum"
5,"G32.3","G323","Conversion to anastomosis of stomach to transposed jejunum"
5,"G32.4","G324","Closure of connection of stomach to transposed jejunum"
5,"G32.5","G325","Attention to connection of stomach to transposed jejunum"
5,"G32.8","G328","Other specified connection of stomach to transposed jejunum"
5,"G32.9","G329","Unspecified connection of stomach to transposed jejunum"
5,"G32.0","G320","Conversion from previous anastomosis of stomach to transposed duodenum"
5,"G33.1","G331","Bypass of stomach by anastomosis of stomach to jejunum not elsewhere classified"
5,"G33.2","G332","Revision of anastomosis of stomach to jejunum not elsewhere classified "
5,"G33.3","G333","Conversion to anastomosis of stomach to jejunum not elsewhere classified "
5,"G33.4","G334","Open reduction of intussusception of gastroenterostomy"
5,"G33.5","G335","Closure of connection of stomach to jejunum NEC"
5,"G33.6","G336","Attention to connection of stomach to jejunum "
5,"G33.8","G338","Other specified other connection of stomach to jejunum"
5,"G33.9","G339","Unspecified other connection of stomach to jejunum"
5,"G33.0","G330","Conversion from previous anastomosis of stomach to jejunum not elsewhere classified"
5,"G35.1","G351","Closure of perforated ulcer of stomach (Contaminated)"
5,"G35.2","G352","Closure of ulcer of stomach not elsewhere classified (Clean-contaminated)"
5,"G35.8","G358","Other specified operations on ulcer of stomach"
5,"G35.9","G359","Unspecified operations on ulcer of stomach"
5,"G36.1","G361","Gastropexy not elsewhere classified (Clean-contaminated)"
5,"G36.2","G362","Closure of perforation of stomach (Contaminated)"
5,"G36.3","G363","Closure of abnormal opening of stomach not elsewhere classified (Clean-contaminated)"
5,"G36.8","G368","Other specified other repair of stomach"
5,"G36.9","G369","Unspecified other repair of stomach"
5,"G38.5","G385","Incision of stomach not elsewhere classified (Clean-contaminated)"
5,"G38.7","G387","Removal of gastric band"
5,"G40.1","G401","Pyloromyotomy"
18,"K22.8 ","K228 ","Other specified"
18,"K22.9 ","K229 ","Unspecified"
18,"K23.1 ","K231 ","Excision of lesion of wall of heart NEC"
18,"K23.2 ","K232 ","Biopsy of lesion of wall of heart"
18,"K23.3 ","K233 ","Repair of wall of heart NEC"
18,"K23.5 ","K235 ","Partial left ventriculectomy"
18,"K23.6 ","K236 ","Cardiomyoplasty"
18,"K23.8 ","K238 ","Other specified"
18,"K23.9 ","K239 ","Unspecified"
18,"K24.1 ","K241 ","Relief of right ventricular outflow tract obstruction"
18,"K24.2 ","K242 ","Repair of double chambered right ventricle"
18,"K24.3 ","K243 ","Repair of right ventricular aneurysm"
18,"K24.4 ","K244 ","Repair of left ventricular aneurysm"
18,"K24.5 ","K245 ","Relief of left ventricular outflow tract obstruction"
18,"K24.6 ","K246 ","Myectomy of left ventricular outflow tract"
18,"K24.7 ","K247 ","Myotomy of left ventricular outflow tract"
18,"K24.8 ","K248 ","Other specified"
18,"K24.9 ","K249 ","Unspecified"
18,"K25.1 ","K251 ","Allograft replacement of mitral valve"
18,"K25.2 ","K252 ","Xenograft replacement of mitral valve"
18,"K25.3 ","K253 ","Prosthetic replacement of mitral valve"
18,"K25.4 ","K254 ","Replacement of mitral valve NEC"
18,"K25.5 ","K255 ","Mitral valve repair NEC"
18,"K25.8 ","K258 ","Other specified"
18,"K25.9 ","K259 ","Unspecified"
18,"K26.1 ","K261 ","Allograft replacement of aortic valve"
18,"K26.2 ","K262 ","Xenograft replacement of aortic valve"
18,"K26.3 ","K263 ","Prosthetic replacement of aortic valve"
18,"K26.4 ","K264 ","Replacement of aortic valve NEC"
18,"K26.5 ","K265 ","Aortic valve repair NEC"
18,"K26.8 ","K268 ","Other specified"
18,"K26.9 ","K269 ","Unspecified"
18,"K27.1 ","K271 ","Allograft replacement of tricuspid valve"
18,"K27.2 ","K272 ","Xenograft replacement of tricuspid valve"
18,"K27.3 ","K273 ","Prosthetic replacement of tricuspid valve"
18,"K27.4 ","K274 ","Replacement of tricuspid valve NEC"
18,"K27.5 ","K275 ","Repositioning of tricuspid valve"
18,"K27.6 ","K276 ","Tricuspid valve repair NEC"
18,"K27.8 ","K278 ","Other specified"
18,"K27.9 ","K279 ","Unspecified"
19,"A11.8 ","A118 ","Other specified"
19,"A11.9 ","A119 ","Unspecified"
19,"A38.1 ","A381 ","Extirpation of lesion of meninges of cortex of brain"
19,"A38.2 ","A382 ","Extirpation of lesion of meninges of sphenoidal ridge of cranium"
19,"A38.3 ","A383 ","Extirpation of lesion of meninges of subfrontal region of brain"
19,"A38.4 ","A384 ","Extirpation of lesion of meninges of parasagittal region of brain"
19,"A38.5 ","A385 ","Extirpation of lesion of falx cerebri"
19,"A38.6 ","A386 ","Extirpation of lesion of tentorium cerebelli"
19,"A38.8 ","A388 ","Other specified"
19,"A38.9 ","A389 ","Unspecified"
19,"A39.1","A391","Repair of meningoencephalocele"
19,"A39.2 ","A392 ","Repair of dura of anterior fossa of cranium"
19,"A39.3 ","A393 ","Repair of dura of middle fossa of cranium"
19,"A39.4 ","A394 ","Repair of dura of posterior fossa of cranium"
19,"A39.5 ","A395 ","Repair of dura of vault of cranium"
19,"A39.8 ","A398 ","Other specified"
19,"A39.9 ","A399 ","Unspecified"
19,"A40.1 ","A401 ","Evacuation of extradural haematoma"
19,"A40.8 ","A408 ","Other specified"
19,"A40.9 ","A409 ","Unspecified"
19,"A41.1 ","A411 ","Evacuation of subdural haematoma"
19,"A41.2 ","A412 ","Drainage of abscess of subdural space"
19,"A41.8 ","A418 ","Other specified"
19,"A41.9 ","A419 ","Unspecified"
19,"A42.1 ","A421 ","Creation of anastomosis of dura"
19,"A42.8 ","A428 ","Other specified"
19,"A42.9 ","A429 ","Unspecified"
19,"A43.1 ","A431 ","Extirpation of lesion of meninges of skull base"
19,"A43.2 ","A432 ","Extirpation of lesion of meninges of skull clivus"
19,"A43.8 ","A438 ","Other specified"
19,"A43.9 ","A439 ","Unspecified"
19,"B01.1 ","B011 ","Transethmoidal hypophysectomy"
19,"B01.2 ","B012 ","Trans-sphenoidal hypophysectomy"
19,"B01.3 ","B013 ","Trans-septal hypophysectomy"
19,"B01.4 ","B014 ","Transcranial hypophysectomy"
19,"B01.8 ","B018 ","Other specified"
19,"B01.9 ","B019 ","Unspecified"
19,"B02.1 ","B021 ","Cryotherapy to pituitary gland"
19,"B02.2 ","B022 ","Implantation of radioactive substance into pituitary gland"
19,"B02.3 ","B023 ","Injection of destructive substance into pituitary gland NEC"
19,"B02.8 ","B028 ","Other specified"
19,"B02.9 ","B029 ","Unspecified"
19,"B04.1 ","B041 ","Excision of lesion of pituitary gland"
19,"B04.2 ","B042 ","Biopsy of lesion of pituitary gland"
19,"B04.3 ","B043 ","Decompression of pituitary gland"
19,"B04.4 ","B044 ","Exploration of pituitary gland"
19,"B04.5 ","B045 ","Operations on pituitary stalk"
19,"B04.8 ","B048 ","Other specified"
19,"B04.9 ","B049 ","Unspecified"
19,"B06.1 ","B061 ","Excision of pineal gland"
19,"B06.8 ","B068 ","Other specified"
19,"B06.9 ","B069 ","Unspecified"
19,"L33.1 ","L331 ","Excision of aneurysm of cerebral artery "
19,"L33.2 ","L332 ","Clipping of aneurysm of cerebral artery "
19,"L33.3 ","L333 ","Ligation of aneurysm of cerebral artery NEC "
19,"L33.4 ","L334 ","Obliteration of aneurysm of cerebral artery NEC "
19,"L33.8 ","L338 ","Other specified "
19,"L33.9 ","L339 ","Unspecified "
19,"L34.1 ","L341 ","Reconstruction of cerebral artery "
19,"L34.2 ","L342 ","Anastomosis of cerebral artery "
20,"T87.6 ","T876 ","Excision or biopsy of porta hepatis lymph node"
20,"T87.7 ","T877 ","Excision or biopsy of inguinal lymph node"
20,"T87.8 ","T878 ","Other specified"
20,"T87.9 ","T879 ","Unspecified"
18,"K04.1 ","K041 ","Repair of tetralogy of Fallot using valved right ventricular outflow conduit"
18,"K04.2 ","K042 ","Repair of tetralogy of Fallot using right ventricular outflow conduit NEC"
18,"K04.3 ","K043 ","Repair of tetralogy of Fallot using transannular patch"
18,"K04.4 ","K044 ","Revision of repair of tetralogy of Fallot"
18,"K04.5 ","K045 ","Repair of tetralogy of Fallot with absent pulmonary valve"
18,"K04.6 ","K046 ","Repair of Fallot-type pulmonary atresia with aortopulmonary collaterals"
18,"K04.8 ","K048 ","Other specified"
18,"K04.9 ","K049 ","Unspecified"
18,"K05.1 ","K051 ","Reconstruction of atrium using atrial patch for transposition of great arteries"
18,"K05.2 ","K052 ","Reconstruction of atrium using atrial wall for transposition of great arteries"
18,"K05.8 ","K058 ","Other specified"
18,"K05.9 ","K059 ","Unspecified"
18,"K06.1","K061","Repositioning of transposed great arteries"
18,"K28.1 ","K281 ","Allograft replacement of pulmonary valve"
18,"K28.2 ","K282 ","Xenograft replacement of pulmonary valve"
18,"K28.3 ","K283 ","Prosthetic replacement of pulmonary valve"
18,"K28.4 ","K284 ","Replacement of pulmonary valve NEC"
18,"K28.5 ","K285 ","Pulmonary valve repair NEC"
18,"K28.8 ","K288 ","Other specified"
18,"K28.9 ","K289 ","Unspecified"
18,"K29.1 ","K291 ","Allograft replacement of valve of heart NEC"
18,"K29.2 ","K292 ","Xenograft replacement of valve of heart NEC"
18,"K29.3 ","K293 ","Prosthetic replacement of valve of heart NEC"
18,"K29.4 ","K294 ","Replacement of valve of heart NEC"
18,"K29.5 ","K295 ","Repair of valve of heart NEC"
18,"K29.6 ","K296 ","Truncal valve repair"
18,"K29.7 ","K297 ","Replacement of truncal valve"
18,"K29.8 ","K298 ","Other specified"
18,"K29.9 ","K299 ","Unspecified"
18,"K30.1 ","K301 ","Revision of plastic repair of mitral valve"
18,"K30.2 ","K302 ","Revision of plastic repair of aortic valve"
18,"K30.3 ","K303 ","Revision of plastic repair of tricuspid valve"
18,"K30.4 ","K304 ","Revision of plastic repair of pulmonary valve"
18,"K30.5 ","K305 ","Revision of plastic repair of truncal valve"
18,"K30.8 ","K308 ","Other specified"
18,"K30.9 ","K309 ","Unspecified"
18,"K31.1 ","K311 ","Open mitral valvotomy"
18,"K31.2 ","K312 ","Open aortic valvotomy"
18,"K31.3 ","K313 ","Open tricuspid valvotomy"
18,"K31.4 ","K314 ","Open pulmonary valvotomy"
18,"K31.5 ","K315 ","Open truncal valvotomy"
18,"K31.8 ","K318 ","Other specified"
18,"K31.9 ","K319 ","Unspecified"
18,"K32.1 ","K321 ","Closed mitral valvotomy"
18,"K32.2 ","K322 ","Closed aortic valvotomy"
18,"K32.3 ","K323 ","Closed tricuspid valvotomy"
18,"K32.4 ","K324 ","Closed pulmonary valvotomy"
18,"K32.8 ","K328 ","Other specified"
18,"K32.9 ","K329 ","Unspecified"
18,"K34.1 ","K341 ","Annuloplasty of mitral valve"
18,"K34.2 ","K342 ","Annuloplasty of tricuspid valve"
18,"K34.3 ","K343 ","Annuloplasty of valve of heart NEC"
18,"K34.4 ","K344 ","Excision of vegetations of valve of heart"
18,"K34.5 ","K345 ","Closure of tricuspid valve"
18,"K34.6 ","K346 ","Closure of pulmonary valve"
18,"K34.8 ","K348 ","Other specified"
18,"K34.9 ","K349 ","Unspecified"
18,"K36.1 ","K361 ","Tricuspid valvectomy"
18,"K36.2 ","K362 ","Pulmonary valvectomy"
18,"K36.8 ","K368 ","Other specified"
18,"K36.9 ","K369 ","Unspecified"
18,"K67.1 ","K671 ","Excision of lesion of pericardium"
18,"K67.8 ","K678 ","Other specified"
18,"K67.9 ","K679 ","Unspecified"
18,"K69.1 ","K691 ","Freeing of adhesions of pericardium"
18,"K69.2 ","K692 ","Fenestration of pericardium"
18,"K69.8 ","K698 ","Other specified"
18,"K69.9 ","K699 ","Unspecified"
3,"J18.3","J183","Total cholecystectomy not elsewhere classified"
3,"J18.5","J185","Partial cholecystectomy not elsewhere classified "
3,"J18.8","J188","Other specified excision of gall bladder"
3,"J18.9","J189","Unspecified excision of gall bladder"
4,"K40.1","K401","Saphenous vein graft replacement of one coronary artery"
4,"K40.2","K402","Saphenous vein graft replacement of two coronary arteries"
4,"K40.3","K403","Saphenous vein graft replacement of three coronary arteries"
4,"K40.4","K404","Saphenous vein graft replacement of four or more coronary arteries"
4,"K40.8","K408","Other specified saphenous vein graft replacement of coronary artery"
4,"K40.9","K409","Unspecified saphenous vein graft replacement of coronary artery"
4,"K41.1","K411","Autograft replacement of one coronary artery not elsewhere classified "
4,"K41.2","K412","Autograft replacement of two coronary arteries not elsewhere classified "
4,"K41.3","K413","Autograft replacement of three coronary arteries not elsewhere classified "
4,"K41.4","K414","Autograft replacement of four or more coronary arteries not elsewhere classified "
4,"K41.8","K418","Other specified autograft replacement of coronary artery"
4,"K41.9","K419","Unspecified other autograft replacement of coronary artery"
4,"K43.1","K431","Prosthetic replacement of one coronary artery"
4,"K43.2","K432","Prosthetic replacement of two coronary arteries"
4,"K43.3","K433","Prosthetic replacement of three coronary arteries"
4,"K43.4","K434","Prosthetic replacement of four or more coronary arteries"
4,"K43.8","K438","Other specified prosthetic replacement of coronary artery"
4,"K43.9","K439","Unspecified prosthetic replacement of coronary artery"
4,"K44.1","K441","Replacement of coronary arteries using multiple methods"
4,"K44.2","K442","Revision of replacement of coronary artery"
4,"K44.8","K448","Other specified other replacement of coronary artery"
4,"K44.9","K449","Unspecified other replacement of coronary artery"
4,"K45.1","K451","Double anastomosis of mammary arteries to coronary arteries"
4,"K45.2","K452","Double anastomosis of thoracic arteries to coronary arteries not elsewhere classified"
2,"J36.9","J369","Unspecified operations on ampulla of vata using duodenal approach"
2,"J55.1","J551","Total pancreatectomy and excision of surrounding tissue"
2,"J55.2","J552","Total pancreatectomy not elsewhere classified "
2,"J55.3","J553","Excision of transplanted pancreas"
2,"J55.8","J558","Other specified total excision of pancreas"
2,"J55.9","J559","Unspecified specified total excision of pancreas"
2,"J56.1","J561","Pancreaticoduodenectomy and excision of surrounding tissue"
2,"J56.2","J562","Pancreaticoduodenectomy and resection of antrum of stomach"
2,"J56.3","J563","Pancreaticoduodenectomy not elsewhere classified "
2,"J56.4","J564","Subtotal excision of head of pancreas with preservation of duodenum and drainage HFQ"
2,"J56.8","J568","Other specified excision of head of pancreas"
2,"J56.9","J569","Unspecified excision of head of pancreas"
18,"K06.2 ","K062 ","Left ventricle to aorta tunnel with right ventricle to pulmonary trunk direct anastomosis"
18,"K06.3 ","K063 ","Left ventricle to aorta tunnel with right ventricle to pulmonary artery valved conduit"
18,"K06.4 ","K064 ","Atrial inversion and repositioning of transposed great artery"
18,"K06.8 ","K068 ","Other specified"
18,"K06.9 ","K069 ","Unspecified"
18,"K07.1 ","K071 ","Correction of total anomalous pulmonary venous connection to supracardiac vessel"
18,"K07.2 ","K072 ","Correction of total anomalous pulmonary venous connection to coronary sinus"
18,"K07.3 ","K073 ","Correction of total anomalous pulmonary venous connection to infradiaphragmatic vessel"
18,"K07.8 ","K078 ","Other specified"
18,"K07.9 ","K079 ","Unspecified"
18,"K08.1 ","K081 ","Repair of double outlet right ventricle with intraventricular tunnel"
18,"K08.2 ","K082 ","Repair of Fallot-type double outlet right ventricle"
18,"K08.3 ","K083 ","Repair of double outlet right ventricle"
18,"K08.4 ","K084 ","Repair of double outlet left ventricle"
18,"K08.8 ","K088 ","Other specified"
18,"K08.9 ","K089 ","Unspecified"
18,"K09.1 ","K091 ","Repair of defect of atrioventricular septum using dual prosthetic patches"
18,"K09.2 ","K092 ","Repair of defect of atrioventricular septum using prosthetic patch NEC"
18,"K09.3 ","K093 ","Repair of defect of atrioventricular septum using tissue graft"
18,"K09.4 ","K094 ","Repair of persistent ostium primum"
18,"K09.5 ","K095 ","Primary repair of defect of atrioventricular septum NEC"
18,"K09.6 ","K096 ","Revision of repair of defect of atrioventricular septum"
18,"K09.8 ","K098 ","Other specified"
18,"K09.9 ","K099 ","Unspecified"
18,"K10.1","K101","Repair of defect of interatrial septum using prosthetic patch"
18,"K10.2 ","K102 ","Repair of defect of interatrial septum using pericardial patch"
18,"K10.3 ","K103 ","Repair of defect of interatrial septum using tissue graft NEC"
18,"K10.4 ","K104 ","Primary repair of defect of interatrial septum NEC"
18,"K10.5 ","K105 ","Revision of repair of defect of interatrial septum"
18,"K10.8 ","K108 ","Other specified"
18,"K10.9 ","K109 ","Unspecified"
18,"K11.1 ","K111 ","Repair of defect of interventricular septum using prosthetic patch"
18,"K11.2 ","K112 ","Repair of defect of interventricular septum using pericardial patch"
18,"K11.3 ","K113 ","Repair of defect of interventricular septum using tissue graft NEC"
18,"K11.4 ","K114 ","Primary repair of defect of interventricular septum NEC"
18,"K11.5 ","K115 ","Revision of repair of defect of interventricular septum"
18,"K11.6 ","K116 ","Repair of multiple interventricular septal defects"
18,"K11.7 ","K117 ","Repair of interventricular septal defect using intraoperative transluminal prosthesis"
18,"K11.8 ","K118 ","Other specified"
18,"K11.9 ","K119 ","Unspecified"
18,"K12.1 ","K121 ","Repair of defect of septum of heart using prosthetic patch NEC"
18,"K12.2 ","K122 ","Repair of defect of septum of heart using pericardial patch NEC"
18,"K12.3 ","K123 ","Repair of defect of septum of heart using tissue graft NEC"
18,"K12.4 ","K124 ","Primary repair of defect of septum of heart NEC"
18,"K12.5 ","K125 ","Revision of repair of septum of heart NEC"
18,"K12.8 ","K128 ","Other specified"
18,"K12.9 ","K129 ","Unspecified"
18,"K14.1 ","K141 ","Open enlargement of defect of atrial septum"
18,"K14.2 ","K142 ","Open atrial septostomy"
18,"K14.3 ","K143 ","Atrial septectomy"
18,"K14.4 ","K144 ","Surgical atrial septation"
18,"K14.5 ","K145 ","Open enlargement of defect of interventricular septum"
18,"K14.8 ","K148 ","Other specified"
18,"K14.9 ","K149 ","Unspecified"
18,"K17.1 ","K171 ","Total cavopulmonary connection with extracardiac inferior caval vein to pulmonary artery conduit"
18,"K17.2 ","K172 ","Total cavopulmonary connection with lateral atrial tunnel"
18,"K17.3 ","K173 ","Aortopulmonary reconstruction with systemic to pulmonary arterial shunt"
18,"K17.4 ","K174 ","Aortopulmonary reconstruction with right ventricle to pulmonary arterial valveless conduit"
18,"K17.5 ","K175 ","Biventricular repair of hypoplastic left heart syndrome"
18,"K17.6 ","K176 ","Takedown of total cavopulmonary connection"
18,"K17.7 ","K177 ","Conversion of atrial pulmonary anastomosis to total pulmonary connection"
18,"K17.8 ","K178 ","Other specified"
18,"K17.9 ","K179 ","Unspecified"
18,"K18.1 ","K181 ","Creation of valved conduit between atrium and ventricle of heart"
18,"K18.2 ","K182 ","Creation of valved conduit between right atrium and pulmonary artery"
18,"K18.3 ","K183 ","Creation of valved conduit between right ventricle of heart and pulmonary artery"
18,"K18.4 ","K184 ","Creation of valved conduit between left ventricle of heart and aorta"
18,"K18.5 ","K185 ","Revision of valved cardiac conduit"
18,"K18.6 ","K186 ","Creation of valved conduit between left ventricle of heart and pulmonary artery"
18,"K18.7 ","K187 ","Replacement of valved cardiac conduit"
18,"K18.8 ","K188 ","Other specified"
18,"K18.9 ","K189 ","Unspecified"
18,"K19.1 ","K191 ","Creation of conduit between atrium and ventricle of heart NEC"
18,"K19.2 ","K192 ","Creation of conduit between right atrium and pulmonary artery NEC"
18,"K19.3 ","K193 ","Creation of conduit between right ventricle of heart and pulmonary artery NEC"
18,"K19.4 ","K194 ","Creation of conduit between right ventricle of heart and vena cava"
18,"K19.5 ","K195 ","Creation of conduit between left ventricle of heart and aorta NEC"
18,"K19.6 ","K196 ","Revision of cardiac conduit NEC"
18,"K19.8 ","K198 ","Other specified"
18,"K19.9 ","K199 ","Unspecified"
18,"K20.1 ","K201 ","Correction of persistent sinus venosus"
18,"K20.2 ","K202 ","Correction of partial anomalous pulmonary venous drainage"
18,"K20.3","K203","Repair of cor triatriatum"
18,"K20.4 ","K204 ","Repair of coronary sinus abnormality"
18,"K20.8 ","K208 ","Other specified"
18,"K20.9 ","K209 ","Unspecified"
18,"K22.1 ","K221 ","Excision of lesion of atrium"
18,"K22.2 ","K222 ","Repair of atrium NEC"
2,"J57.1","J571","Subtotal pancreatectomy"
2,"J57.2","J572","Left pancreatectomy and drainage of pancreatic duct"
2,"J57.3","J573","Left pancreatectomy not elsewhere classified"
2,"J57.4","J574","Excision of tail of pancreas and drainage of pancreatic duct"
2,"J57.5","J575","Excision of tail of pancreas not elsewhere classified"
2,"J57.6","J576","Pancreatic necrosectomy"
2,"J57.8","J578","Other specified other partial excision of pancreas"
2,"J57.9","J579","Unspecified other partial excision of pancreas"
2,"J58.1","J581","Excision of lesion of islet of langerhans"
2,"J58.2","J582","Excision of lesion of pancreas not elsewhere classified "
2,"J58.3","J583","Destruction of lesion of pancreas"
2,"J58.8","J588","Other specified other extirpation of pancreas"
2,"J58.9","J589","Unspecified other extirpation of pancreas"
2,"J59.1","J591","Anastomosis of pancreatic duct to stomach"
2,"J59.2","J592","Anastomosis of pancreatic duct to duodenum"
2,"J59.3","J593","Anastomosis of pancreatic duct to transposed jejunum"
2,"J59.4","J594","Anastomosis of pancreatic duct to jejunum not elsewhere classified "
2,"J59.5","J595","Revision of anastomosis of pancreatic duct"
2,"J59.6","J596","Closure of anastomosis of pancreatic duct"
2,"J59.8","J598","Other specified connection of pancreatic duct"
2,"J59.9","J599","Unspecified connection of pancreatic duct"
2,"J60.1","J601","Drainage of pancreatic duct"
2,"J60.2","J602","Open removal of calculus from pancreatic duct"
2,"J60.3","J603","Insertion of T tube into pancreatic duct (Clean-contaminated)"
2,"J60.4","J604","Open insertion of tubal prosthesis into pancreatic duct"
2,"J60.5","J605","Open dilation of pancreatic duct"
2,"J60.8","J608","Other specified other operations on pancreatic duct"
2,"J60.9","J609","Unspecified other operations on pancreatic duct"
2,"J61.1","J611","Open cystogastrotomy of pancreas"
2,"J61.2","J612","Drainage of cyst of pancreas into transposed jejunum"
2,"J61.3","J613","Drainage of cyst of pancreas into jejunum not elsewhere classified"
2,"J61.4","J614","Drainage of cyst of pancreas not elsewhere classified "
2,"J61.8","J618","Other specified open drainage of lesion of pancreas"
2,"J61.9","J619","Unspecified open drainage of lesion "
20,"B27.1","B271","Total mastectomy and excision of both pectoral muscles and part of chest wall "
20,"B27.2 ","B272 ","Total mastectomy and excision of both pectoral muscles NEC "
20,"B27.3 ","B273 ","Total mastectomy and excision of pectoralis minor muscle "
20,"B27.4 ","B274 ","Total mastectomy NEC "
20,"B27.5 ","B275 ","Subcutaneous mastectomy  "
20,"B27.6 ","B276 ","Skin sparing mastectomy  "
20,"B27.8 ","B278 ","Other specified "
20,"B27.9 ","B279 ","Unspecified "
20,"B28.1 ","B281 ","Quadrantectomy of breast "
20,"B28.2 ","B282 ","Partial excision of breast NEC "
20,"B28.3 ","B283 ","Excision of lesion of breast "
20,"B28.4 ","B284 ","Re-excision of breast margins "
20,"B28.6 ","B286 ","Excision of accessory breast tissue  "
20,"B28.8 ","B288 ","Other specified "
20,"B28.9 ","B289 ","Unspecified "
20,"B29.1 ","B291 ","Reconstruction of breast using myocutaneous flap of latissimus dorsi muscle "
20,"B29.2 ","B292 ","Reconstruction of breast using local flap of skin NEC "
20,"B29.3 ","B293 ","Reconstruction of breast using flap of skin of abdomen NEC "
20,"B29.4 ","B294 ","Reconstruction of breast using distant flap of skin NEC "
20,"B29.5 ","B295 ","Revision of reconstruction of breast "
20,"B29.8 ","B298 ","Other specified "
20,"B29.9 ","B299 ","Unspecified "
20,"B30.1 ","B301 ","Insertion of prosthesis for breast "
20,"B30.2 ","B302 ","Revision of prosthesis for breast "
20,"B30.3 ","B303 ","Removal of prosthesis for breast "
20,"B30.4 ","B304 ","Renewal of prosthesis for breast "
20,"B30.8 ","B308 ","Other specified "
20,"B30.9 ","B309 ","Unspecified "
20,"B31.1 ","B311 ","Reduction mammoplasty "
20,"B31.2 ","B312 ","Augmentation mammoplasty "
20,"B31.3 ","B313 ","Mastopexy "
20,"B31.4 ","B314 ","Revision of mammoplasty "
20,"B31.8 ","B318 ","Other specified "
20,"B31.9 ","B319 ","Unspecified "
20,"B38.1","B381","Reconstruction of breast using free superior gluteal artery perforator flap "
20,"B38.2 ","B382 ","Reconstruction of breast using free inferior gluteal artery perforator flap "
20,"B38.8 ","B388 ","Other specified "
20,"B38.9 ","B389 ","Unspecified "
20,"B39.1","B391","Reconstruction of breast using free transverse rectus abdominis myocutaneous flap "
20,"B39.2 ","B392 ","Reconstruction of breast using pedicled transverse rectus abdominis myocutaneous flap "
20,"B39.3 ","B393 ","Reconstruction of breast using free deep inferior epigastric perforator flap "
20,"B39.4 ","B394 ","Reconstruction of breast using pedicle omental flap"
20,"B39.5 ","B395 ","Reconstruction of breast using free omental flap"
20,"B39.8 ","B398 ","Other specified "
20,"B39.9 ","B399 ","Unspecified "
20,"T85.8 ","T858 ","Other specified"
20,"T85.9 ","T859 ","Unspecified"
20,"T86.1 ","T861 ","Sampling of cervical lymph nodes"
20,"T86.2 ","T862 ","Sampling of axillary lymph nodes"
20,"T86.3 ","T863 ","Sampling of supraclavicular lymph nodes"
20,"T86.4 ","T864 ","Sampling of internal mammary lymph nodes"
20,"T86.5 ","T865 ","Sampling of mediastinal lymph nodes"
20,"T86.6 ","T866 ","Sampling of para-aortic lymph nodes"
20,"T86.7 ","T867 ","Sampling of inguinal lymph nodes"
20,"T86.8 ","T868 ","Other specified"
20,"T86.9 ","T869 ","Unspecified"
20,"T87.1 ","T871 ","Excision or biopsy of scalene lymph node"
20,"T87.2 ","T872 ","Excision or biopsy of cervical lymph node NEC"
20,"T87.3 ","T873 ","Excision or biopsy of axillary lymph node"
1,"Q07.1","Q071","Abdominal hysterocolpectomy and excision of periuterine tissue"
1,"Q07.2","Q072","Abdominal hysterectomy and excision of periuterine tissue not elsewhere classified"
1,"Q07.3","Q073","Abdominal hysterocolpectomy not elsewhere classified"
1,"Q07.4","Q074","Total abdominal hysterectomy not elsewhere classified"
1,"Q07.5","Q075","Subtotal abdominal hysterectomy"
1,"Q07.6","Q076","Excision of accessory uterus"
1,"Q07.8","Q078","Other specified abdominal excision of uterus"
1,"Q07.9","Q079","Unspecified abdominal excision of uterus"
2,"J02.1","J021","Right hemihepatectomy"
2,"J02.2","J022","Left hemihepatectomy"
2,"J02.3","J023","Resection of segment of liver"
2,"J02.4","J024","Wedge excision of liver"
2,"J02.5","J025","Marsupialisation of lesion of liver"
2,"J02.6","J026","Extended right hemihepatectomy"
2,"J02.7","J027","Extended left hemihepatectomy "
2,"J02.8","J028","Other specified partial excision of liver"
2,"J02.9","J029","Unspecified partial excision of liver"
2,"J03.1","J031","Excision of lesion of liver NEC"
